indicator,type,topic,description,response,respondent_group,year,sample_size,result,format
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Female,2021,731,17.4,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Carlton 3053,2021,137,25.7,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Docklands 3008,2021,113,8.2,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Parkville 3052,2021,84,20.8,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",South Wharf / Southbank 3006,2021,184,19.0,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",18-24 years,2021,373,17.1,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",45-54 years,2021,123,6.7,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",55-64 years,2021,80,10.3,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Male,2021,621,10.5,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Melbourne 3000,2021,347,13.0,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,8.3,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",18-24 years,2021,373,91.4,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Carlton 3053,2021,137,88.1,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Melbourne 3000,2021,347,84.3,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Parkville 3052,2021,84,89.1,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",45-54 years,2021,123,62.9,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Carlton 3053,2021,137,68.9,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2021,231,62.7,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Parkville 3052,2021,84,74.4,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",South Wharf / Southbank 3006,2021,184,63.5,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,25-34 years,2021,398,97.3,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Carlton 3053,2021,132,96.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Parkville 3052,2021,80,96.5,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",25-34 years,2021,416,63.2,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",35-44 years,2021,194,60.6,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Male,2021,621,57.6,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Kensington / Flemington 3031,2021,121,63.6,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Melbourne 3000,2021,347,60.8,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,45-54 years,2021,123,4.1,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Carlton 3053,2021,137,6.1,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Kensington / Flemington 3031,2021,121,5.6,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Melbourne 3000,2021,347,5.5,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",18-24 years,2021,373,64.7,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",East Melbourne 3002,2021,73,74.8,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Melbourne 3000,2021,347,53.8,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2021,231,56.3,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",35-44 years,2021,194,55.3,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",65+ years,2021,117,39.2,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Female,2021,731,53.3,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Male,2021,621,56.4,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",City of Melbourne,2021,1378,54.5,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",South Wharf / Southbank 3006,2021,184,63.8,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",35-44 years,2021,194,19.4,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",55-64 years,2021,80,7.1,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",Carlton 3053,2021,137,18.4,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",Kensington / Flemington 3031,2021,121,14.1,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",Melbourne 3000,2021,347,11.8,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2021,231,16.0,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",South Wharf / Southbank 3006,2021,184,13.1,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",35-44 years,2021,194,11.7,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",55-64 years,2021,80,2.4,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",Female,2021,731,7.6,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",Kensington / Flemington 3031,2021,121,6.2,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",Parkville 3052,2021,84,9.5,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,6.1,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",45-54 years,2021,123,5.9,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",55-64 years,2021,80,2.5,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",65+ years,2021,117,1.7,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",Male,2021,621,8.6,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",Kensington / Flemington 3031,2021,121,6.8,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2021,231,6.3,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",Parkville 3052,2021,84,10.4,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,35-44 years,2021,194,44.4,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,55-64 years,2021,80,33.5,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,65+ years,2021,117,53.7,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,Carlton 3053,2021,137,52.2,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,City of Melbourne,2021,1378,48.3,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,Docklands 3008,2021,113,40.1,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,East Melbourne 3002,2021,73,46.4,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,Kensington / Flemington 3031,2021,121,43.9,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,Parkville 3052,2021,84,59.6,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,South Wharf / Southbank 3006,2021,184,49.1,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,70.7,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",35-44 years,2021,194,45.3,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",45-54 years,2021,123,54.4,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",55-64 years,2021,80,65.3,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",Female,2021,731,50.9,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",Male,2021,621,48.4,Per cent
