Geography,Year,Category,Industry Space Use,Value
Docklands,2029,Jobs by space use,Total jobs,83050
Docklands,2031,Jobs by space use,Total jobs,85041
Docklands,2032,Jobs by space use,Total jobs,86039
Docklands,2035,Jobs by space use,Total jobs,88435
Docklands,2036,Jobs by space use,Total jobs,89382
Docklands,2041,Jobs by space use,Total jobs,93783
East Melbourne,2022,Jobs by industry,Total jobs,20840
East Melbourne,2027,Jobs by industry,Total jobs,23462
East Melbourne,2028,Jobs by industry,Total jobs,23995
East Melbourne,2031,Jobs by industry,Total jobs,25596
East Melbourne,2032,Jobs by industry,Total jobs,25886
East Melbourne,2040,Jobs by industry,Total jobs,27829
East Melbourne,2041,Jobs by industry,Total jobs,28053
East Melbourne,2024,Jobs by space use,Total jobs,21818
East Melbourne,2025,Jobs by space use,Total jobs,22479
East Melbourne,2034,Jobs by space use,Total jobs,26420
East Melbourne,2037,Jobs by space use,Total jobs,27110
East Melbourne,2040,Jobs by space use,Total jobs,27829
Kensington,2023,Jobs by industry,Total jobs,8079
Kensington,2024,Jobs by industry,Total jobs,8136
Kensington,2025,Jobs by industry,Total jobs,8277
Kensington,2026,Jobs by industry,Total jobs,8463
Kensington,2030,Jobs by industry,Total jobs,9405
Kensington,2036,Jobs by industry,Total jobs,12349
Kensington,2040,Jobs by industry,Total jobs,13362
Kensington,2028,Jobs by space use,Total jobs,8898
Kensington,2029,Jobs by space use,Total jobs,9145
Kensington,2030,Jobs by space use,Total jobs,9405
Kensington,2033,Jobs by space use,Total jobs,11110
Kensington,2034,Jobs by space use,Total jobs,11611
Kensington,2035,Jobs by space use,Total jobs,12104
Kensington,2038,Jobs by space use,Total jobs,12817
Kensington,2039,Jobs by space use,Total jobs,13083
Kensington,2041,Jobs by space use,Total jobs,13732
Melbourne (CBD),2025,Jobs by industry,Total jobs,238754
Melbourne (CBD),2027,Jobs by industry,Total jobs,248279
Melbourne (CBD),2030,Jobs by industry,Total jobs,261373
Melbourne (CBD),2032,Jobs by industry,Total jobs,267917
Melbourne (CBD),2036,Jobs by industry,Total jobs,278971
Melbourne (CBD),2039,Jobs by industry,Total jobs,288253
Melbourne (CBD),2022,Jobs by space use,Total jobs,222982
Melbourne (CBD),2028,Jobs by space use,Total jobs,252673
Melbourne (CBD),2032,Jobs by space use,Total jobs,267917
Melbourne (CBD),2037,Jobs by space use,Total jobs,282077
Melbourne (CBD),2038,Jobs by space use,Total jobs,285181
Melbourne (CBD),2039,Jobs by space use,Total jobs,288253
Melbourne (CBD),2041,Jobs by space use,Total jobs,294155
Melbourne (Remainder),2029,Jobs by industry,Total jobs,27886
Melbourne (Remainder),2037,Jobs by industry,Total jobs,29046
Melbourne (Remainder),2040,Jobs by industry,Total jobs,29372
Melbourne (Remainder),2021,Jobs by space use,Total jobs,23088
Melbourne (Remainder),2022,Jobs by space use,Total jobs,23330
Melbourne (Remainder),2023,Jobs by space use,Total jobs,23940
Melbourne (Remainder),2030,Jobs by space use,Total jobs,28283
Melbourne (Remainder),2037,Jobs by space use,Total jobs,29046
Melbourne (Remainder),2038,Jobs by space use,Total jobs,29158
Melbourne (Remainder),2039,Jobs by space use,Total jobs,29265
Melbourne (Remainder),2040,Jobs by space use,Total jobs,29372
North Melbourne,2023,Jobs by industry,Total jobs,10691
North Melbourne,2028,Jobs by industry,Total jobs,15740
North Melbourne,2029,Jobs by industry,Total jobs,16846
North Melbourne,2031,Jobs by industry,Total jobs,18648
North Melbourne,2032,Jobs by industry,Total jobs,19471
North Melbourne,2033,Jobs by industry,Total jobs,20234
North Melbourne,2034,Jobs by industry,Total jobs,20999
North Melbourne,2037,Jobs by industry,Total jobs,23216
North Melbourne,2023,Jobs by space use,Total jobs,10691
North Melbourne,2024,Jobs by space use,Total jobs,11780
North Melbourne,2028,Jobs by space use,Total jobs,15740
North Melbourne,2029,Jobs by space use,Total jobs,16846
North Melbourne,2030,Jobs by space use,Total jobs,17768
North Melbourne,2031,Jobs by space use,Total jobs,18648
North Melbourne,2039,Jobs by space use,Total jobs,24481
North Melbourne,2040,Jobs by space use,Total jobs,25194
Parkville,2022,Jobs by industry,Total jobs,30526
Parkville,2027,Jobs by industry,Total jobs,33175
Parkville,2040,Jobs by industry,Total jobs,38243
Parkville,2023,Jobs by space use,Total jobs,30943
Parkville,2033,Jobs by space use,Total jobs,35986
Parkville,2035,Jobs by space use,Total jobs,36204
Parkville,2036,Jobs by space use,Total jobs,36547
Parkville,2039,Jobs by space use,Total jobs,37911
Parkville,2041,Jobs by space use,Total jobs,38758
Port Melbourne,2026,Jobs by industry,Total jobs,13667
Port Melbourne,2027,Jobs by industry,Total jobs,13921
Port Melbourne,2028,Jobs by industry,Total jobs,14225
Port Melbourne,2031,Jobs by industry,Total jobs,17191
Port Melbourne,2033,Jobs by industry,Total jobs,20671
Port Melbourne,2037,Jobs by industry,Total jobs,27936
Port Melbourne,2039,Jobs by industry,Total jobs,29993
Port Melbourne,2041,Jobs by industry,Total jobs,32176
Port Melbourne,2023,Jobs by space use,Total jobs,13260
Port Melbourne,2027,Jobs by space use,Total jobs,13921
Port Melbourne,2030,Jobs by space use,Total jobs,15059
Port Melbourne,2031,Jobs by space use,Total jobs,17191
Port Melbourne,2032,Jobs by space use,Total jobs,18781
Port Melbourne,2035,Jobs by space use,Total jobs,25837
Port Melbourne,2036,Jobs by space use,Total jobs,26933
South Yarra,2023,Jobs by industry,Total jobs,1179
South Yarra,2025,Jobs by industry,Total jobs,1466
South Yarra,2030,Jobs by industry,Total jobs,1705
South Yarra,2031,Jobs by industry,Total jobs,1713
South Yarra,2033,Jobs by industry,Total jobs,1723
South Yarra,2035,Jobs by industry,Total jobs,1765
South Yarra,2041,Jobs by industry,Total jobs,1772
South Yarra,2022,Jobs by space use,Total jobs,1061
South Yarra,2023,Jobs by space use,Total jobs,1179
South Yarra,2024,Jobs by space use,Total jobs,1310
South Yarra,2026,Jobs by space use,Total jobs,1576
South Yarra,2027,Jobs by space use,Total jobs,1648
South Yarra,2034,Jobs by space use,Total jobs,1734
South Yarra,2035,Jobs by space use,Total jobs,1765
South Yarra,2038,Jobs by space use,Total jobs,1770
South Yarra,2039,Jobs by space use,Total jobs,1771
South Yarra,2040,Jobs by space use,Total jobs,1772
Southbank,2023,Jobs by industry,Total jobs,45815
Southbank,2024,Jobs by industry,Total jobs,46551
Southbank,2026,Jobs by industry,Total jobs,48454
Southbank,2027,Jobs by industry,Total jobs,49399
Southbank,2031,Jobs by industry,Total jobs,53199
Southbank,2034,Jobs by industry,Total jobs,55218
Southbank,2021,Jobs by space use,Total jobs,44776
Southbank,2030,Jobs by space use,Total jobs,52310
Southbank,2032,Jobs by space use,Total jobs,53932
West Melbourne (Industrial),2023,Jobs by industry,Total jobs,3908
West Melbourne (Industrial),2024,Jobs by industry,Total jobs,3975
West Melbourne (Industrial),2028,Jobs by industry,Total jobs,4612
West Melbourne (Industrial),2032,Jobs by industry,Total jobs,5242
West Melbourne (Industrial),2033,Jobs by industry,Total jobs,5348
West Melbourne (Industrial),2034,Jobs by industry,Total jobs,5451
West Melbourne (Industrial),2036,Jobs by industry,Total jobs,5684
West Melbourne (Industrial),2037,Jobs by industry,Total jobs,5806
West Melbourne (Industrial),2040,Jobs by industry,Total jobs,6206
West Melbourne (Industrial),2025,Jobs by space use,Total jobs,4117
West Melbourne (Industrial),2029,Jobs by space use,Total jobs,4781
West Melbourne (Industrial),2031,Jobs by space use,Total jobs,5120
West Melbourne (Industrial),2034,Jobs by space use,Total jobs,5451
West Melbourne (Industrial),2035,Jobs by space use,Total jobs,5578
West Melbourne (Industrial),2040,Jobs by space use,Total jobs,6206
West Melbourne (Industrial),2041,Jobs by space use,Total jobs,6384
West Melbourne (Residential),2022,Jobs by industry,Total jobs,4994
West Melbourne (Residential),2024,Jobs by industry,Total jobs,5270
West Melbourne (Residential),2025,Jobs by industry,Total jobs,5454
West Melbourne (Residential),2029,Jobs by industry,Total jobs,6118
West Melbourne (Residential),2033,Jobs by industry,Total jobs,6717
West Melbourne (Residential),2035,Jobs by industry,Total jobs,6889
West Melbourne (Residential),2037,Jobs by industry,Total jobs,7145
West Melbourne (Residential),2038,Jobs by industry,Total jobs,7263
West Melbourne (Residential),2041,Jobs by industry,Total jobs,7328
West Melbourne (Residential),2021,Jobs by space use,Total jobs,4963
West Melbourne (Residential),2024,Jobs by space use,Total jobs,5270
West Melbourne (Residential),2027,Jobs by space use,Total jobs,5770
West Melbourne (Residential),2028,Jobs by space use,Total jobs,5936
West Melbourne (Residential),2030,Jobs by space use,Total jobs,6336
West Melbourne (Residential),2031,Jobs by space use,Total jobs,6501
West Melbourne (Residential),2032,Jobs by space use,Total jobs,6620
West Melbourne (Residential),2034,Jobs by space use,Total jobs,6805
West Melbourne (Residential),2040,Jobs by space use,Total jobs,7323
West Melbourne (Residential),2041,Jobs by space use,Total jobs,7328
City of Melbourne,2021,Jobs by industry,Accommodation,9928
City of Melbourne,2022,Jobs by industry,Accommodation,10107
City of Melbourne,2025,Jobs by industry,Accommodation,11272
City of Melbourne,2028,Jobs by industry,Accommodation,12199
City of Melbourne,2036,Jobs by industry,Accommodation,13638
City of Melbourne,2038,Jobs by industry,Accommodation,13842
City of Melbourne,2039,Jobs by industry,Accommodation,13946
City of Melbourne,2022,Jobs by industry,Admin and support services,16323
City of Melbourne,2023,Jobs by industry,Admin and support services,16834
City of Melbourne,2027,Jobs by industry,Admin and support services,18637
City of Melbourne,2030,Jobs by industry,Admin and support services,19438
City of Melbourne,2031,Jobs by industry,Admin and support services,19698
City of Melbourne,2036,Jobs by industry,Admin and support services,21574
City of Melbourne,2039,Jobs by industry,Admin and support services,22339
City of Melbourne,2033,Jobs by industry,Agriculture and mining,3076
City of Melbourne,2034,Jobs by industry,Agriculture and mining,3116
City of Melbourne,2037,Jobs by industry,Agriculture and mining,3235
City of Melbourne,2039,Jobs by industry,Agriculture and mining,3311
City of Melbourne,2040,Jobs by industry,Agriculture and mining,3349
City of Melbourne,2022,Jobs by industry,Arts and recreation services,25936
City of Melbourne,2023,Jobs by industry,Arts and recreation services,26129
City of Melbourne,2024,Jobs by industry,Arts and recreation services,26322
City of Melbourne,2033,Jobs by industry,Arts and recreation services,30613
City of Melbourne,2021,Jobs by industry,Business services,80614
City of Melbourne,2023,Jobs by industry,Business services,85677
City of Melbourne,2025,Jobs by industry,Business services,88208
City of Melbourne,2029,Jobs by industry,Business services,97510
City of Melbourne,2031,Jobs by industry,Business services,102042
City of Melbourne,2035,Jobs by industry,Business services,112919
City of Melbourne,2036,Jobs by industry,Business services,115652
City of Melbourne,2037,Jobs by industry,Business services,118263
City of Melbourne,2038,Jobs by industry,Business services,120898
City of Melbourne,2039,Jobs by industry,Business services,123529
City of Melbourne,2023,Jobs by industry,Construction,7031
City of Melbourne,2026,Jobs by industry,Construction,7632
City of Melbourne,2028,Jobs by industry,Construction,7955
City of Melbourne,2029,Jobs by industry,Construction,8114
City of Melbourne,2032,Jobs by industry,Construction,8534
City of Melbourne,2033,Jobs by industry,Construction,8617
City of Melbourne,2034,Jobs by industry,Construction,8698
City of Melbourne,2038,Jobs by industry,Construction,9017
City of Melbourne,2021,Jobs by industry,Education and training,25314
City of Melbourne,2022,Jobs by industry,Education and training,25673
City of Melbourne,2024,Jobs by industry,Education and training,26928
City of Melbourne,2025,Jobs by industry,Education and training,28003
City of Melbourne,2031,Jobs by industry,Education and training,36348
City of Melbourne,2040,Jobs by industry,Education and training,45258
City of Melbourne,2022,Jobs by industry,"Electricity, gas, water and waste services",12031
City of Melbourne,2024,Jobs by industry,"Electricity, gas, water and waste services",11548
City of Melbourne,2025,Jobs by industry,"Electricity, gas, water and waste services",11306
City of Melbourne,2026,Jobs by industry,"Electricity, gas, water and waste services",11064
City of Melbourne,2027,Jobs by industry,"Electricity, gas, water and waste services",11186
City of Melbourne,2028,Jobs by industry,"Electricity, gas, water and waste services",11304
City of Melbourne,2029,Jobs by industry,"Electricity, gas, water and waste services",11419
City of Melbourne,2033,Jobs by industry,"Electricity, gas, water and waste services",11788
City of Melbourne,2037,Jobs by industry,"Electricity, gas, water and waste services",12048
City of Melbourne,2038,Jobs by industry,"Electricity, gas, water and waste services",12109
City of Melbourne,2021,Jobs by industry,Finance and insurance,63964
City of Melbourne,2022,Jobs by industry,Finance and insurance,64832
City of Melbourne,2024,Jobs by industry,Finance and insurance,68302
City of Melbourne,2030,Jobs by industry,Finance and insurance,73303
City of Melbourne,2032,Jobs by industry,Finance and insurance,74389
City of Melbourne,2033,Jobs by industry,Finance and insurance,75071
City of Melbourne,2034,Jobs by industry,Finance and insurance,75733
City of Melbourne,2021,Jobs by industry,Food and beverage services,33327
City of Melbourne,2022,Jobs by industry,Food and beverage services,34278
City of Melbourne,2023,Jobs by industry,Food and beverage services,35229
City of Melbourne,2024,Jobs by industry,Food and beverage services,37608
City of Melbourne,2025,Jobs by industry,Food and beverage services,40462
City of Melbourne,2026,Jobs by industry,Food and beverage services,42364
City of Melbourne,2031,Jobs by industry,Food and beverage services,47662
City of Melbourne,2035,Jobs by industry,Food and beverage services,49276
City of Melbourne,2037,Jobs by industry,Food and beverage services,50042
City of Melbourne,2039,Jobs by industry,Food and beverage services,50797
City of Melbourne,2040,Jobs by industry,Food and beverage services,51186
City of Melbourne,2025,Jobs by industry,Health care and social assistance,51769
City of Melbourne,2026,Jobs by industry,Health care and social assistance,53896
City of Melbourne,2028,Jobs by industry,Health care and social assistance,57895
City of Melbourne,2034,Jobs by industry,Health care and social assistance,67740
City of Melbourne,2035,Jobs by industry,Health care and social assistance,69018
City of Melbourne,2036,Jobs by industry,Health care and social assistance,70298
City of Melbourne,2038,Jobs by industry,Health care and social assistance,72726
City of Melbourne,2040,Jobs by industry,Health care and social assistance,75204
City of Melbourne,2022,Jobs by industry,Information media and telecommunications,26222
